day,temperature,country
1,18,Cimmeria
2,15,Cimmeria
3,20,Cimmeria
4,25,Cimmeria
5,24,Cimmeria
6,28,Cimmeria
7,20,Cimmeria
8,24,Cimmeria
9,26,Cimmeria
10,30,Cimmeria
11,34,Cimmeria
12,37,Cimmeria
13,42,Cimmeria
14,40,Cimmeria
15,44,Cimmeria
16,44,Cimmeria
17,43,Cimmeria
18,38,Cimmeria
19,30,Cimmeria
20,34,Cimmeria
21,27,Cimmeria
22,25,Cimmeria
23,23,Cimmeria
24,20,Cimmeria
25,18,Cimmeria
1,44,Cimbria
2,43,Cimbria
3,43,Cimbria
4,36,Cimbria
5,34,Cimbria
6,32,Cimbria
7,30,Cimbria
8,27,Cimbria
9,26,Cimbria
10,22,Cimbria
11,18,Cimbria
12,20,Cimbria
13,19,Cimbria
14,16,Cimbria
15,14,Cimbria
16,11,Cimbria
17,10,Cimbria
18,14,Cimbria
19,12,Cimbria
20,16,Cimbria
21,20,Cimbria
22,24,Cimbria
23,29,Cimbria
24,25,Cimbria
25,31,Cimbria