day,temperature,country,high,low
1,18,Cimmeria,22,15
2,15,Cimmeria,17,13
3,20,Cimmeria,22,17
4,25,Cimmeria,29,21
5,24,Cimmeria,25,21
6,28,Cimmeria,30,25
7,20,Cimmeria,24,16
8,24,Cimmeria,25,22
9,26,Cimmeria,29,22
10,30,Cimmeria,31,29
11,34,Cimmeria,36,30
12,37,Cimmeria,40,35
13,42,Cimmeria,46,41
14,40,Cimmeria,44,37
15,44,Cimmeria,47,42
16,44,Cimmeria,47,43
17,43,Cimmeria,46,40
18,38,Cimmeria,42,37
19,30,Cimmeria,33,27
20,34,Cimmeria,35,33
21,27,Cimmeria,29,26
22,25,Cimmeria,26,22
23,23,Cimmeria,27,19
24,20,Cimmeria,22,17
25,18,Cimmeria,21,17