city,month,high,low
NYC,1,38,27
NYC,2,42,29
NYC,3,50,35
NYC,4,61,45
NYC,5,71,54
NYC,6,79,64
NYC,7,84,69
NYC,8,83,68
NYC,9,75,61
NYC,10,64,50
NYC,11,54,42
NYC,12,43,32
Lima,1,79,68
Lima,2,81,68
Lima,3,79,68
Lima,4,77,64
Lima,5,72,63
Lima,6,70,61
Lima,7,66,61
Lima,8,66,59
Lima,9,68,59
Lima,10,70,61
Lima,11,73,63
Lima,12,77,66
Tuscon,1,65,39
Tuscon,2,68,42
Tuscon,3,73,45
Tuscon,4,82,51
Tuscon,5,90,59
Tuscon,6,100,68
Tuscon,7,100,74
Tuscon,8,97,73
Tuscon,9,94,68
Tuscon,10,84,57
Tuscon,11,72,45
Tuscon,12,65,40
Beijing,1,36,16
Beijing,2,39,19
Beijing,3,52,30
Beijing,4,68,45
Beijing,5,79,55
Beijing,6,86,64
Beijing,7,88,72
Beijing,8,86,68
Beijing,9,79,57
Beijing,10,66,45
Beijing,11,50,32
Beijing,12,37,19
Melbourne,1,79,59
Melbourne,2,79,61
Melbourne,3,75,57
Melbourne,4,70,54
Melbourne,5,63,50
Melbourne,6,57,45
Melbourne,7,57,43
Melbourne,8,59,45
Melbourne,9,63,48
Melbourne,10,68,50
Melbourne,11,72,54
Melbourne,12,75,57
Stockholm,1,30,23
Stockholm,2,30,23
Stockholm,3,37,27
Stockholm,4,48,34
Stockholm,5,61,43
Stockholm,6,70,52
Stockholm,7,72,55
Stockholm,8,68,55
Stockholm,9,59,48
Stockholm,10,50,41
Stockholm,11,39,34
Stockholm,12,34,27