abbr,name,trump,clinton
CA,California,3549576,6621346
CO,Colorado,1137455,1212209
CT,Connecticut,668266,884432
DE,Delaware,185103,235581
DC,District of Columbia,11553,260223
HI,Hawaii,128815,266827
IL,Illinois,2118179,2977498
ME,Maine,334838,354873
ME,Maine,154173,210921
MD,Maryland,873646,1497951
MA,Massachusetts,1083069,1964768
MN,Minnesota,1322891,1366676
NV,Nevada,511319,537753
NH,New Hampshire,345789,348521
NJ,New Jersey,1535513,2021756
NM,New Mexico,315875,380724
NY,New York,2640570,4143874
OR,Oregon,742506,934631
RI,Rhode Island,179421,249902
VT,Vermont,95053,178179
VA,Virginia,1731156,1916845
WA,Washington,1129120,1610524
MI,Michigan,2279805,2268193
AL,Alabama,1306925,718084
AK,Alaska,130415,93007
AZ,Arizona,1021154,936250
AR,Arkansas,677904,378729
FL,Florida,4605515,4485745
GA,Georgia,2068623,1837300
ID,Idaho,407199,189677
IN,Indiana,1556220,1031953
IA,Iowa,798923,650790
KS,Kansas,656009,414788
KY,Kentucky,1202942,628834
LA,Louisiana,1178004,779535
ME,Maine,180665,143952
MS,Mississippi,678457,462001
MO,Missouri,1585753,1054889
MT,Montana,274120,174521
NE,Nebraska,485819,273858
NE,Nebraska,157303,98588
NE,Nebraska,131338,122253
NE,Nebraska,195973,52732
NC,North Carolina,2339603,2162074
ND,North Dakota,216133,93526
OH,Ohio,2771984,2317001
OK,Oklahoma,947934,419788
PA,Pennsylvania,2912941,2844705
SC,South Carolina,1143611,849469
SD,South Dakota,227701,117442
TN,Tennessee,1517402,867110
TX,Texas,4681590,3867816
UT,Utah,452086,274188
WV,West Virginia,486198,187457
WI,Wisconsin,1409467,1382210
WY,Wyoming,174248,55949