country,maternity_lengths_in_weeks,paternity_lengths_in_weeks
United States,0,0
Mexico,12,1
Israel,14,0
Switzerland,14,0
Netherlands,16,0.4
Turkey,16,1
New Zealand,18,0
Spain,16,2.1
Australia,18,2
Ireland,26,0
Chile,30,1
Iceland,26,13
United Kingdom,39,2
Greece,43,0.4
Italy,47.7,0.4
Belgium,32.3,19.3
Canada,52,0
Denmark,50,2
Portugal,30.1,22.3
Poland,52,2
Slovenia,52.1,2.9
OECD average,55.2,8.2
Germany,58,8.7
Luxembourg,42,26.4
Austria,60,8.7
France,42,28
Sweden,55.7,14.3
EU average,65.6,6.2
Latvia,94,1.4
Norway,91,10
Czech Republic,110,0
Japan,58,52
Korea,64.9,52.6
Hungary,160,1
Slovak Republic,164,0
Estonia,166,2
Finland,161,9